Estado,Dimension,Edades,Estimador,Poblacion Total,Hombres,Mujeres
02 Baja California,50 000-99 999 habitantes,60-64 años,Valor,4433,2277,2156
02 Baja California,50 000-99 999 habitantes,65-69 años,Valor,3467,1698,1769
02 Baja California,50 000-99 999 habitantes,70-74 años,Valor,2329,1124,1205
02 Baja California,50 000-99 999 habitantes,75 años y más,Valor,3007,1410,1597
02 Baja California,50 000-99 999 habitantes,No especificado,Valor,51,27,24
02 Baja California,100 000 y más habitantes,Total,Valor,2305073,1142828,1162245
02 Baja California,100 000 y más habitantes,00-04 años,Valor,181598,91940,89658
02 Baja California,100 000 y más habitantes,05-09 años,Valor,195703,98871,96832
02 Baja California,100 000 y más habitantes,10-14 años,Valor,203611,102870,100741
02 Baja California,100 000 y más habitantes,15-19 años,Valor,204466,103627,100839
02 Baja California,100 000 y más habitantes,20-24 años,Valor,213444,107504,105940
02 Baja California,100 000 y más habitantes,25-29 años,Valor,192145,95044,97101
02 Baja California,100 000 y más habitantes,30-34 años,Valor,180591,90367,90224
02 Baja California,100 000 y más habitantes,35-39 años,Valor,175125,84227,90898
02 Baja California,100 000 y más habitantes,40-44 años,Valor,180069,90712,89357
02 Baja California,100 000 y más habitantes,45-49 años,Valor,144263,72432,71831
02 Baja California,100 000 y más habitantes,50-54 años,Valor,127804,63238,64566
02 Baja California,100 000 y más habitantes,55-59 años,Valor,94560,45766,48794
02 Baja California,100 000 y más habitantes,60-64 años,Valor,77420,35209,42211
02 Baja California,100 000 y más habitantes,65-69 años,Valor,51002,22830,28172
02 Baja California,100 000 y más habitantes,70-74 años,Valor,34652,16820,17832
02 Baja California,100 000 y más habitantes,75 años y más,Valor,47168,20598,26570
02 Baja California,100 000 y más habitantes,No especificado,Valor,1452,773,679
